Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936,30716.0,"196,631,588",92.0,84274754,"1,713,126","5,767,700","651,565,900",-2147483648,"150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,18004655,"22,931","4,818,457","2,669,262",,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,323703884,28113.0,"174,597,137",92.0,116347040,"3,486,739","674,700","35,223,547",208339025,"156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,7780028,"28,444","6,623,075","1,118,279",,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283,54331.0,"211,607,669",92.0,122599116,"2,228,730","3,025,400","275,154,237",-2147483648,"373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,5022621,"5,639","7,208,651","5,285,340",,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,2031280633,269802.0,"136,569,078",85.0,1096100899,"10,629,796","7,189,811","1,078,757,968",-2147483648,"3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,190260277,"203,384",,"11,822,942",,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,107034922,7223.0,"151,469,874",88.0,77373957,"3,670,188","16,400",,0,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,4493884,"7,006","207,179","457,017",,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,670665438,105892.0,"175,421,034",83.0,131148091,"1,392,593","4,202,367","214,943,489",-2147483648,"2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,138529362,"50,982","9,438,601","4,517,131",,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751,73118.0,"201,585,714",86.0,308723145,"4,120,760",,"29,584,940",534915313,"4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,65447476,"57,372",,"9,990,302",,0
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,675079153,40094.0,"211,236,940",92.0,228382568,"1,439,495","3,500,000","338,546,668",-2147483648,"2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,3372428,"5,762",,"6,063,523",,1
Danza Kuduro - Cover,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ - Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,1653018119,1.0,15,,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,90676573,10400.0,"184,199,419",86.0,32735244,"988,682","325,800","121,574,500",974656200,"174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,1005626,842,"3,679,709","666,302",,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,250080413,16219.0,"168,766,158",91.0,32229063,"550,191",,"184,500",2100000,"327,130,768",157.0,"62,312",71,60.0,"12,009,073",114.0,23155471,"21,172","1,594,605","963,413",,1
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,111155129,2.0,"263,767",,0,,,,0,,0.0,,,0.0,,2.0,0,,,,,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,221636195,13800.0,"197,280,692",92.0,40022524,"1,307,290","195,300","45,889,000",360017000,"342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,1354692,"1,219","1,313,357","450,344",,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,355186436,43025.0,"108,168,634",88.0,98081493,"1,456,177",,,0,"174,491,415",153.0,"90,237",3,55.0,"3,001,826",109.0,26252264,"18,364","12,038,034","1,963,314",,1
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,297185,277.0,"24,445",12.0,-2147483648,"16,785,489",3,"1,088",22234,,1.0,"1,057",,0.0,,0.0,0,,,"3,288",,0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,925655569,103605.0,"79,944,921",79.0,934302031,"4,294,166","11,054,500","521,725,116",-2147483648,"2,042,145,659",94.0,"92,231",228,60.0,"5,633,435",83.0,12171026,"13,242","871,978","2,765,808",,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,395433400,12784.0,"177,932,568",89.0,104673836,"2,484,083","139,300","25,348,800",207317000,"268,893,710",221.0,"129,968",3,99.0,"37,988,531",134.0,9961769,"13,437","377,734","1,210,029",,0
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1258569694,105218.0,"198,845,580",87.0,141646818,"1,514,837","2,294,429","419,319,161",-2147483648,"2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,44850379,"12,270",,"6,973,652",,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,91272461,6499.0,"52,287,548",86.0,16038053,"569,377","941,900","119,740,900",1225345800,"5,839,168",76.0,181,1,24.0,"5,054,005",33.0,283089,162,"975,891","257,661",,0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,-2147483648,407119.0,"169,783,402",87.0,800899315,"9,101,589","2,755,903","1,633,970,617",-2147483648,"7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,132624772,"79,909",,"14,967,379",,0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,1065399331,170890.0,"121,712,197",78.0,240970670,"2,749,668","3,091,732","652,428,798",-2147483648,"1,063,591,802",158.0,"400,899",273,143.0,"13,718,632",146.0,70291476,"49,111",,"7,559,816",,1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,547882871,24425.0,"262,343,414",95.0,107550212,"1,825,761","209,200","169,144,295",1379499000,"422,646,034",298.0,"37,208",236,167.0,"41,414,565",149.0,10362898,"10,848","1,551,157","1,373,085",,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279.0,1655575417,10.0,655,,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,BeyoncÃ¯Â¿,2/10/2024,USSM12401302,24,278.9,426700979,34044.0,"152,928,632",86.0,35724356,"437,980","1,470,500","485,200,392",-2147483648,"1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,13860535,"36,282",,"2,100,708",,1
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,0,1.0,2,,0,,"9,453,333","273,236,305",-2147483648,,0.0,,,0.0,,0.0,0,,,,,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,7382759,3504.0,"661,084",35.0,4233958,"69,990","37,621,885","1,636,811,753",-2147483648,,1.0,,439,1.0,6,1.0,0,,,"633,525",,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,-2147483648,451732.0,"134,793,519",78.0,1256973582,"14,661,425","7,485,966","2,246,991,336",-2147483648,"4,327,058,646",513.0,"1,510,151","4,096",166.0,"5,783,693",128.0,196783487,"124,922","36,341,585",,,1
Baby Shark,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Ã½Ã½Ã½Ã½Ã½Ã½ Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,Pinkfong,12/1/2015,KRE671700001,28,265.7,720822868,60945.0,"7,530,769",71.0,-2147483648,"48,757,673","7,743,800","281,762,094",-2147483648,"2,166,611",33.0,284,142,19.0,"52,179",17.0,86458847,"2,234,137",,"2,064,420",,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,591068364,26203.0,"197,494,995",87.0,156882014,"3,080,503",,,0,"578,568,464",194.0,"200,230",32,117.0,"22,062,193",126.0,10106573,"7,689","1,612,479","1,579,980",,0
Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,256.0,1003215671,128.0,"485,454",,0,,,,0,,0.0,,,0.0,,0.0,179867721,"87,209",,"4,474,248",,1
Danza Kuduro - Cover,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,1645079292,0.0,,,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,1
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,124893397,3479.0,"25,936,342",82.0,359896095,"4,907,193","212,500","48,327,004",390081328,"38,798,822",36.0,"2,188",32,3.0,"347,997",26.0,130743,592,"265,670","191,867",,0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179,98450.0,"150,471,020",83.0,265180930,"2,566,846","2,114,363","369,150,956",-2147483648,"3,031,114,430",225.0,"486,952","1,215",180.0,"19,469,488",188.0,40418532,"27,555","6,049,784","6,447,136",,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,750154960,139141.0,"103,879,363",79.0,118208096,"1,495,758","1,031,447","196,985,853",-2147483648,"1,745,168,821",163.0,"378,114",856,113.0,"16,295,286",112.0,20228317,"5,331","10,938,075","7,477,917",,0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,532012790,23557.0,"67,488,850",,62123098,"923,733",,,0,"384,716,227",221.0,"151,990",64,42.0,"658,517",47.0,31032977,"23,005","1,516,649",,,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230.0,479417905,7.0,"1,519",,0,,,,0,,0.0,,,0.0,,1.0,121250721,"83,632",,"3,692,067",,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226.4,311928522,25766.0,"180,237,463",96.0,62694868,"837,616",,"27,811,667",378313942,"243,895,569",149.0,,141,58.0,"26,516,005",146.0,21453034,"30,180","4,482,348","1,707,213",,1
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157,88239.0,"180,617,454",87.0,139180960,"1,504,385","396,560","49,060,857",597513595,"4,016,801,205",215.0,"605,841",162,133.0,"42,675,181",120.0,253538985,"72,429","5,409,388","10,517,831",,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727,188142.0,"80,392,612",80.0,94699547,"1,222,012","1,237,229","311,252,391",-2147483648,"140,623,676",123.0,"265,291","4,003",40.0,"2,225,409",88.0,64456799,"20,518","33,130,829","3,945,184",,1
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,-2147483648,375201.0,"64,901,153",71.0,-2147483648,"27,240,268","10,342,366","393,814,740",-2147483648,"2,428,166,573",549.0,"573,733",169,584.0,"5,749,770",121.0,373294159,"844,198","37,430,204","44,842,636",,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645,10871.0,"202,626,837",92.0,11033725,"251,373","251,200","71,078,500",443104700,"148,058,631",247.0,"3,400",8,67.0,"11,523,335",125.0,840442,"2,592","1,369,981","285,858",,0
Cupid Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Twin Ver. (FIFTY FIFTY) Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Spe,Cupid Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Twin Ver. (FIFTY FIFTY) Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Spe,sped up 8282,4/8/2023,KRA252300672,42,211.2,170970614,27827.0,"5,784,546",41.0,22280037,"334,523","14,348,249","948,225,544",-2147483648,,2.0,672,,4.0,"35,737",9.0,270610,"3,170",,,,1
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,1658229422,262248.0,"239,957,538",83.0,466080689,"4,324,989","728,093","54,258,768",1051836430,"1,425,853,925",285.0,"935,190","2,487",207.0,"6,479,623",168.0,139926990,"31,235","8,007,236","10,973,120",,1
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,1126820069,177800.0,"85,255,689",82.0,274070101,"3,701,289","2,557,115","285,329,503",-2147483648,"1,205,538,057",163.0,"259,255",96,77.0,"3,413,707",80.0,28924685,"14,634","9,505,098","8,681,350",,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,997702304,105927.0,"92,834,002",86.0,48093111,"959,175","3,648,759","857,220,853",-2147483648,"298,259,422",91.0,"36,285","2,676",63.0,"10,874,749",110.0,6151267,"9,160","7,980,051","2,682,219",,0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,59314441,2572.0,"183,043,096",83.0,22374807,"1,026,097",,"188,200",1200000,"110,446,147",199.0,"2,359",2,73.0,"13,686,074",98.0,360163,758,"9,883","47,115",,1
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,493627071,45300.0,"87,874,006",80.0,150571504,"1,575,378","93,500","35,970,610",386610043,"3,129,834,452",174.0,"564,640",405,146.0,"28,246,184",127.0,25843941,"3,694","1,991,527","2,389,957",,0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,TCJPA2415647,48,204.4,1655575417,9.0,85,,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203.6,304929492,43923.0,"46,133,083",69.0,61986821,"921,044","13,872,768","390,207,653",-2147483648,"19,218,089",78.0,"92,638",822,41.0,"3,467,570",36.0,7444354,"7,188",,"2,227,494",,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203.5,1747093405,178114.0,"49,464,650",74.0,-2147483648,"61,799,279","799,338","78,304,409",1143297071,"569,548,901",179.0,"121,234",116,145.0,"1,977,014",118.0,266603596,"2,359,900",,"19,622,551",,0
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202.1,168434320,17168.0,"62,516,401",86.0,53604746,"1,846,535",,,0,"174,375,427",65.0,"6,408",77,20.0,"428,378",31.0,3156727,"4,843","4,304,870","654,482",,1
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,GX3Q92333626,52,200.3,104271,249.0,"8,585",25.0,-2147483648,,190,"36,666",393580,,0.0,12,,0.0,,0.0,0,,,"1,881",,0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198.0,1391688322,163876.0,"130,963,116",77.0,902742581,"8,099,187",599,"48,035",2857920,"750,030,685",316.0,"1,107,265",,112.0,"11,937,930",146.0,52073859,"41,487","5,820,026","3,521,951",,0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,-2147483648,316378.0,"148,037,882",80.0,-2147483648,"45,770,887","2,270,315","194,420,058",-2147483648,"2,294,804,623",465.0,"402,829",282,512.0,"2,710,931",115.0,733565655,"651,557","78,149,375","1,146,246",,0
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194.3,55346,42.0,"16,861",13.0,-2147483648,"8,162,101",,,0,,0.0,53,,0.0,,0.0,0,,,200,,0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,-2147483648,590392.0,"165,544,011",83.0,833807130,"10,093,211","2,882,064","337,322,563",-2147483648,"2,258,085,924",859.0,"1,695,240","1,116",564.0,"11,701,129",184.0,489299762,"319,634","28,659,471","28,994,660",,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192.3,1337619917,228295.0,"64,806,723",80.0,193982443,"2,023,998","423,714","148,085,419",1268862678,"444,033,037",152.0,"952,186",34,58.0,"2,134,791",66.0,77382416,"28,694",,"6,205,060",,1
Dona Felicidade,Dona Felicidade,Patati PatatÃ¯Â¿,6/4/2024,QZNJW2423715,58,190.0,0,2.0,"41,206",,52480069,"82,092",,,0,,0.0,,,1.0,"1,657",0.0,0,,,,,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190.0,1655575417,1.0,3,,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,1556275789,210583.0,"95,974,138",74.0,254051906,"3,364,206","2,379,787","683,088,623",-2147483648,"1,524,133,775",203.0,"718,849",117,63.0,"1,616,564",167.0,111398743,"71,335","10,424,892","10,192,485",,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187.9,0,2.0,135,9.0,0,,,,0,,0.0,,,0.0,,0.0,420235997,"885,123",,,,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,1384,2.0,801,,222076,"5,430","5,013,500","605,320,683",-2147483648,,0.0,,,0.0,,0.0,0,,,,,0
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,69729033,2483.0,"21,046,278",81.0,111310770,"1,724,693","56,600","61,038,623",393973528,"32,059,104",40.0,709,13,7.0,"544,322",14.0,45515,100,"255,951","63,283",,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,1811990630,173358.0,"67,603,671",79.0,1516863120,"8,870,768","4,506,600","549,886,060",-2147483648,"934,894,575",124.0,"77,120",327,44.0,"14,871,714",63.0,111324744,"39,123",,"3,393,920",,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,199929812,4.0,98,,0,,,,0,,1.0,,,0.0,,0.0,390345308,"399,793",,,,1
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,584427088,182994.0,"19,203,258",68.0,1141904909,"8,766,235","6,129,450","856,216,952",-2147483648,"2,952,879,912",138.0,"191,634",759,53.0,"3,481,756",45.0,98290873,"46,039","14,668,216","22,563,407",,0
CARNIVAL,CARNIVAL,Ã½Ã½$,2/8/2024,QZ7XS2400012,67,179.6,466887055,53842.0,"103,935,623",84.0,27688666,"449,112",,,0,"33,817,299",42.0,"53,333",,11.0,"199,915",29.0,1359484,"11,303","11,703,609","1,982,000",,1
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,1873746537,190202.0,"99,546,318",82.0,220538045,"3,153,793","266,430","152,410,048",1284413960,"426,461,749",214.0,"655,242","5,448",73.0,"1,304,067",122.0,57350590,"61,270","16,992,932","4,873,832",,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,891720245,114560.0,"97,542,546",82.0,144741616,"2,761,964","1,443,103","498,822,693",-2147483648,"1,384,310,160",168.0,"275,119",68,108.0,"10,920,686",111.0,39374594,"19,921","5,418,596","4,476,509",,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176.2,46567,252.0,"21,930",6.0,2038459981,"6,076,902",,,0,,2.0,29,,0.0,,0.0,1456,,,903,,0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,-2147483648,486278.0,"112,416,489",82.0,1272898075,"14,947,520","1,416,295","513,334,446",-2147483648,"4,899,313,022",459.0,"1,414,326","1,434",170.0,"11,862,378",95.0,122247640,"160,431",,"17,848,778",,0
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,174.8,2045512421,97.0,"488,602",,0,,,,0,,0.0,,,0.0,,2.0,0,,,,,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,174.3,946941510,100130.0,"74,836,321",74.0,776436101,"12,951,756","4,210,895","797,017,650",-2147483648,"457,987,382",110.0,"165,670",180,106.0,"4,971,379",92.0,48806666,"10,225",,"2,237,762",,0
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,UKACT2330463,74,173.6,7909,38.0,"15,023",4.0,1999374091,"5,708,577",,,0,,0.0,59,,0.0,,0.0,0,,,"1,412",,0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,1010494713,127393.0,"18,652,312",67.0,-2147483648,"41,487,213","5,757,883","187,301,054",1981431049,"939,714,925",63.0,"49,780","2,195",64.0,"397,418",100.0,181784010,"2,022,074","106,880,548","8,856,633",,0
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,1008495696,99381.0,"57,394,938",75.0,878892413,"4,425,283","796,603","127,651,887",1669065906,"1,522,934,425",101.0,"73,481",225,42.0,"5,734,172",81.0,55857743,"15,528",,"2,283,747",,0
Laxed Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168.9,0,10230.0,"1,142,937",,12489728,"339,414","42,900,000","919,945,708",-2147483648,,0.0,,,0.0,,0.0,5678792,,,,,0
Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,692512930,199828.0,"55,464,762",78.0,219666692,"2,332,307","731,797","130,560,533",1254944697,"918,145,630",155.0,"42,082",36,41.0,"1,790,031",76.0,411656,"3,414","12,405,917","3,093,667",,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167.8,169410711,11028.0,"144,854,768",90.0,19402457,"997,411",284,,0,"260,377,114",185.0,"1,008",,53.0,"20,737,850",59.0,521322,698,"1,680,434","388,625",,0
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,1024381758,78554.0,"69,319,589",78.0,1102289596,"8,953,293","457,111","15,048,444",248168852,"1,174,053,183",138.0,"149,584",38,84.0,"8,850,320",131.0,68022934,"16,511","164,895","3,488,226",,1
Perfect,Ã½Ã½ (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700024,81,167.5,-2147483648,280165.0,"116,921,604",81.0,-2147483648,"39,632,673","6,642,975","601,244,764",-2147483648,"1,708,317,539",208.0,"263,386",129,343.0,"1,242,581",102.0,617483078,"595,052",,,,0
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,1500499584,359502.0,"125,112,486",74.0,1431591689,"11,553,088","2,866,181","290,811,371",-2147483648,"782,475,986",258.0,"240,677",438,137.0,"4,015,523",102.0,120046948,"89,582","6,227","17,210,946",,1
Peekaboo,Glide - Single,Dave Angel,1/27/2023,GBLTF2300027,83,167.2,8082,63.0,"32,758",,2055940513,"4,150,967",,,0,,1.0,13,,0.0,,0.0,0,,,442,,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,1215336974,129463.0,"39,814,172",74.0,701880622,"3,831,236","5,416","550,073",15373104,"546,259,059",83.0,"40,153",227,24.0,"4,946,338",61.0,84378219,"53,890","17,115,523","3,435,177",,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166.2,860026452,74769.0,"139,913,794",80.0,173044031,"1,640,319","175,536","90,924,917",1227837850,"1,205,266,954",7.0,"759,185","1,100",82.0,"4,067,956",0.0,64567514,"22,064","1,843,883","3,199,636",,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,1032225805,94887.0,"74,469,479",79.0,920878032,"3,118,229","1,031,612","116,003,972",-2147483648,"1,690,231,413",83.0,"57,941",177,42.0,"3,360,878",48.0,55410702,"27,415","230,579","2,635,577",,1
redrum,american dream,21 Savage,1/12/2024,USSM12309164,87,164.8,428233003,57311.0,"144,298,748",,105148629,"1,762,297","87,200","6,732,800",43993800,"977,638,660",74.0,"102,457",56,48.0,"4,037,475",60.0,16802867,"11,821",,"2,490,071",,1
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,1720918065,209635.0,"93,875,458",73.0,1194846205,"13,561,925","1,912,194","733,101,955",-2147483648,"6,353,555,150",325.0,"774,277","1,316",257.0,"5,323,750",100.0,203324731,"126,594",,"7,569,155",,0
TitÃ¯Â¿Â½Ã¯Â¿Â½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214878,89,163.1,1514239759,190692.0,"77,283,361",77.0,1366181141,"9,358,441","1,769,068","475,656,543",-2147483648,"488,048,337",150.0,"145,640",920,44.0,"5,591,928",108.0,69095169,"81,914",,"5,133,847",,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,162.0,333202114,108322.0,"41,018,697",68.0,203487345,"2,084,532","928,132","63,253,779",748253884,"735,908,540",148.0,"346,411",146,30.0,"1,277,729",60.0,90114807,"46,789","16,620,102","4,207,535",,1
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,1563224246,117005.0,"97,456,780",80.0,203259285,"3,482,508","1,302,967","376,660,493",-2147483648,"724,976,542",261.0,"1,034,319","1,088",74.0,"4,457,357",150.0,92338994,"45,974",,"4,703,179",,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,1692951462,209490.0,"88,591,675",78.0,1132539234,"8,795,731","1,212,100","196,608,777",2054826154,"56,677,146",99.0,"138,254",37,58.0,"5,211,955",65.0,18052815,"5,213","4,099,686","6,836,893",,0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161.0,255076355,11500.0,"90,584,540",86.0,202206901,"2,596,912",,"57,656,713",506476590,"273,521,596",67.0,"4,716",137,9.0,"423,666",44.0,220481,"1,207","556,784","659,825",,0
